structure,algorithm,size,avg_distance,std_distance,min_distance,avg_time,std_time
grid,"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",50,709.4676526811721,22.263800735081677,687.8189264309241,1.9377637666657392,0.4499321225589428
grid,"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",10,158.05089830988047,3.749433281725169,153.95334169392325,0.18258626666526345,0.002526416230363089
grid,Nearest Neighbor,10,169.46401123995153,16.676759667662893,153.9533416939233,0.002908166666505433,0.0010099000260313515
grid,Nearest Neighbor,50,717.6542016422014,25.215680841113883,689.0483774977623,0.06536613333446437,0.007385232814953964
grid,"Simulated Annealing (T=100, α=0.95)",10,175.907720856095,12.141965789370762,161.89740563921316,0.009779800000008667,0.0029533968168436973
grid,"Simulated Annealing (T=1000, α=0.98)",50,787.1695028085787,30.331915547432864,768.479679362354,0.05856823333306233,0.013763616162234201
random,2-opt,10,inf,,inf,9.143333348521171e-05,1.9708461062190337e-05
random,2-opt,50,inf,,inf,8.08333340197782e-05,6.474884957069276e-05
random,"Ant Colony (ants=10, α=1.0, β=2.0)",10,inf,,inf,0.0004418999985015194,0.0003722000403009167
random,"Ant Colony (ants=20, α=1.0, β=3.0)",50,inf,,inf,0.00010523333306383691,5.454120826463961e-05
random,Branch and Bound,10,0.0,0.0,0.0,5.326666602438005e-05,1.175173780835995e-05
random,Christofides,10,inf,,inf,0.00041749999945746665,0.00012056172733112035
random,Christofides,50,inf,,inf,0.0004443666669734,0.00022110609233080014
random,"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",50,inf,,inf,0.00027996666661533334,0.00011922274793104269
random,"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",10,inf,,inf,0.00021356666669206667,6.51108565505374e-05
random,Nearest Neighbor,10,inf,,inf,3.683333246347805e-05,1.0943644339804536e-05
random,Nearest Neighbor,50,inf,,inf,2.103333463310264e-05,8.167211711280876e-06
random,"Simulated Annealing (T=100, α=0.95)",10,inf,,inf,0.00012036666763981108,2.4604946080036812e-05
random,"Simulated Annealing (T=1000, α=0.98)",50,inf,,inf,0.00011470000026747526,3.907416069792974e-05
